Eil. Nr.,Adresas,Plotas,Patalpų charakteristika,Nuomininkas,Galioja_nuo,Galioja_iki,"Nuomos Mokestis, Eur/ mėn.","Parama, Eur/ metus",Seniūnija,Paskirtis,Tipas
1,Pergalės g. 16,592.88,"rūsys, 1 aukštas","UAB ""Sanum medicale""",2011-03-14,2026-03-14,171.71,,Naujosios Vilnios,Gydymo paskirčiai,Nuoma
2,Algirdo g. 31,135.14,2 aukštas,"viešoji įstaiga ""Vaikų linija""",2012-11-15,2021-07-01,39.14,4525,Naujamiesčio,Socialinių paslaugų teikimui,Nuoma
3,Antavilių g. 11,5139.39,"trys 2 aukštų gyvenamieji namai, 2 aukštų vagykla, trys vieno aukšto pavėsinės",VšĮ Antavilių pensionatas,2011-03-01,2021-03-01,1488.47,67840,Antakalnio,Socialinių paslaugų teikimui,Nuoma
4,Antavilių g. 17A,1084.72,"1 aukštas - pirtis, skalbykla ir pagalbinių patalpų pastatas",VšĮ Antavilių pensionatas,2011-03-01,2021-03-01,314.16,14318,Antakalnio,Socialinių paslaugų teikimui,Nuoma
5,Architektų g. 152,89.84,1 aukštas,"VILNIAUS MIESTO LABDAROS IR PARAMOS FONDAS ""HARĖ KRIŠNA MAISTAS KŪNUI IR SIELAI""",2013-12-21,2018-12-20,26.02,2642,Lazdynų,Socialinių paslaugų teikimui,Nuoma
6,Basanavičiaus g. 29,137.27,1 aukštas,Asociacija Vilniaus miesto neįgaliųjų draugija,2013-12-20,2018-12-20,39.76,13623,Naujamiesčio,Socialinių paslaugų teikimui,Nuoma
7,Gardino g. 2A,336.04,"1 aukšto pastatas, garažo patalpos",Labdaros ir paramos fondas Vilties centras,2015-05-09,2015-08.31,86.89,16636,Rasų,Socialinių paslaugų teikimui,Nuoma
8,Giros g. 84-1,67.22,1 aukštas,"Visuomeninė organizacija ""Gelbėkit vaikus""",2013-04-02,2018-04-02,19.47,4203,Fabijoniškių,Socialinių paslaugų teikimui,Nuoma
9,"Juozapavičiaus g. 10A-5, 101",311.2,"rūsys, 2 aukštas",Asociacija LIETUVOS RAUDONOJO KRYŽIAUS DRAUGIJA,2015-04-01,2020-04-01,90.25,17477,Šnipiškių,Socialinių paslaugų teikimui,Nuoma
10,Kaštonų g. 1A,50.77,"rūsys, 1 aukštas","Vilniaus miesto gausių šeimų bendrijos ""Vilniaus šeimyna"" labdaros ir paramos fondas ""Vilniaus šeimyna""",2014-03-18,2019-03-17,14.7,4186,Naujamiesčio,Socialinių paslaugų teikimui,Nuoma
11,Kaštonų g. 2,45.52,1 aukštas,"asociacija Lietuvos sutrikusio intelekto žmonių globos bendrija ""Viltis""",2014-10-17,2019-10-17,13.18,5020,Naujamiesčio,Socialinių paslaugų teikimui,Nuoma
12,Kaštonų g. 3-9,45.87,1 aukštas,"Vilniaus miesto gausių šeimų bendrijos ""Vilniaus šeimyna"" Labdaros ir paramos fondas ""Vilniaus šeimyna""",2014-03-18,2019-03-17,13.28,2280,Naujamiesčio,Socialinių paslaugų teikimui,Nuoma
13,Kauno g. 6,57.95,rūsys,ŽIV ir AIDS paveiktų moterų bei jų artimųjų asociacija,2015-02-01,2020-02-01,17.39,2086,Senamiesčio,Socialinių paslaugų teikimui,Nuoma
14,Naugarduko g. 26-2,74.33,1 aukštas,"Vilniaus miesto šeimų, turinčių psichikos ligonių, bendrija ""Būkime kartu""",2013-10-02,2018-10-02,21.53,6228,Naujamiesčio,Socialinių paslaugų teikimui,Nuoma
15,Skroblų g. 27,424.58,rūsys,viešoji įstaiga Vilkpėdės bendruomenės socialinių paslaugų centras,2015-01-01,2019-05-31,122.97,8396,Vilkpėdės,Socialinių paslaugų teikimui,Nuoma
16,Viršuliškių g. 34,68.73,2 aukštas,viešoji įstaiga „Pagalbos ir informacijos šeimai tarnyba“,2012-10-22,2017-10-22,19.91,1435,Viršuliškių,Socialinių paslaugų teikimui,Nuoma
17,Viršuliškių g. 53A,70.02,pusrūsis,Lietuvos žmonių su stuburo pažeidimais asociacija,2014-05-02,2018-05-02,20.28,2521,Viršuliškių,Socialinių paslaugų teikimui,Nuoma
18,Žirmūnų g. 123,109.48,cokolinis aukštas,Asociacija Lietuvos katalikių moterų sąjunga,2014-04-01,2019-03-31,31.71,2365,Žirmūnų,Socialinių paslaugų teikimui,Nuoma
19,Žolyno g. 47,287.05,2 aukštų pastatas,Žmonių su Dauno sindromu ir jų globėjų asociacija,2013-03-01,2018-03-01,83.14,9976,Antakalnio,Socialinių paslaugų teikimui,Nuoma
20,Aguonų g. 5,92.87,1-o aukšto pastatas,Vilniaus karo Afganistane veteranų sąjunga,2015-02-01,2020-02-01,27.86,8571,Naujamiesčio,Administracinei paskirčiai,Nuoma
21,Algirdo g. 31,67.65,2 aukštas,"viešoji įstaiga ""Savanorių centras""",2014-02-01,2019-02-01,19.59,,Naujamiesčio,Administracinei paskirčiai,Nuoma
22,Antakalnio g. 17,12.2,1 aukštas,Vilniaus politinių kalinių ir tremtinių bendrija,2015-03-15,2020-03-15,3.66,930,Antakalnio,Administracinei paskirčiai,Nuoma
23,Antakalnio g. 17,16.3,1 aukštas,Lietuvos politinių kalinių ir tremtinių bendrija,2015-03-15,2020-03-15,4.89,1240,Antakalnio,Administracinei paskirčiai,Nuoma
24,Aušros Vartų g. 16,95.6,pusrūsis,"Visuomeninė organizacija ""Vaikai-visuomenės dalis""",2014-05-01,2019-04-30,27.69,8031,Senamiesčio,Administracinei paskirčiai,Nuoma
25,Aušros Vartų g. 3-2,139.24,2 aukštas,Jungtinių Tautų vaikų fondo UNICEF Lietuvos nacionalinis komitetas,2010-12-01,2015-12-01,80.65,,Senamiesčio,Administracinei paskirčiai,Nuoma
26,Basanavičiaus g. 29,68.85,2 aukštas,Asociacija Lietuvos šachmatų federacija,2014-01-11,2019-01-11,19.94,5048,Naujamiesčio,Administracinei paskirčiai,Nuoma
27,Basanavičiaus g. 29,69.86,2 aukštas,LIETUVOS RERICHO DRAUGIJA IR VYDŪNO DRAUGIJA,2013-08-13,2023-08-13,20.23,5545,Naujamiesčio,Administracinei paskirčiai,Nuoma
28,Birželio 23-iosios g. 5,29.84,1 aukštas,"Viešoji įstaiga ""Menava""",2013-01-11,2018-01-11,25.93,,Naujamiesčio,Administracinei paskirčiai,Nuoma
29,Didžioji g. 8-5,90.98,1 aukštas,Lietuvos jaunimo organizacijų taryba,2015-04-01,2020-04-01,27.29,25198,Senamiesčio,Administracinei paskirčiai,Nuoma
30,Gedimino pr. 10,469.81,2 aukštas,Darbo partija,2014-08-12,2017-02-01,136.07,42452,Senamiesčio,Administracinei paskirčiai,Nuoma
31,Jogailos g. 11,177.09,3 aukštas,Nacionalinė žurnalistų kūrėjų asociacija,2011-01-29,2021-01-21,51.29,28433,Naujamiesčio,Administracinei paskirčiai,Nuoma
32,Jogailos g. 7,410.65,2 aukštas,Vilniaus apskrities vyriausiasis policijos komisariatas,2014-09-02,2019-09-02,278.3,,Naujamiesčio,Administracinei paskirčiai,Nuoma
33,Jogailos g. 7,33.2,garažas,Vilniaus apskrities vyriausiasis policijos komisariatas,2015-03-04,2020-04-03,22.58,,Naujamiesčio,Administracinei paskirčiai,Nuoma
34,Juozapavičiaus g. 10A-101,44.75,rūsys,Asociacija LIETUVOS JAUNŲJŲ KRIKŠČIONIŲ SĄJUNGA,2013-06-02,2018-06-02,12.96,891,Šnipiškių,Administracinei paskirčiai,Nuoma
35,Juozapavičiaus g. 10A-3A,12.14,1 aukštas,Visuomeninės organizacijos Lietuvai pagražinti Vilniaus draugija,2013-10-01,2018-09-30,3.51,691,Šnipiškių,Administracinei paskirčiai,Nuoma
36,Juozapavičiaus g. 10A-3A,46.77,1 aukštas,Valstybinė biudžetinė įstaiga Aplinkos apsaugos agentūra,2013-06-02,2018-06-02,13.55,1718,Šnipiškių,Administracinei paskirčiai,Nuoma
37,Kaštonų g. 4,58.85,2 aukštas,asociacija Nacionalinė žalingųjų įpročių prevencijos taryba,2015-01-06,2020-01-06,17.04,8467,Naujamiesčio,Administracinei paskirčiai,Nuoma
38,Kaštonų g. 4,55.46,1 aukštas,Lietuvos pagyvenusių žmonių asociacija,2014-11-01,2019-11-01,16.06,7980,Naujamiesčio,Administracinei paskirčiai,Nuoma
39,Pamėnkalnio g. 23,45.88,pusrūsis,Asociacija Lietuvai pagražinti draugija,2014-05-12,2019-05-11,13.29,2693,Naujamiesčio,Administracinei paskirčiai,Nuoma
40,Pamėnkalnio g. 26,48.55,1 aukštas,Lietuvos valstiečių ir žaliųjų sąjunga,2013-08-11,2018-08-10,14.06,7892,Naujamiesčio,Administracinei paskirčiai,Nuoma
41,Pašto g. 12,160.12,3 pastatai,"asociacija ""Lietuvos motociklistų klubas (LMK)""",2013-12-09,2018-12-08,46.37,,Panerių,Administracinei paskirčiai,Nuoma
42,Rotundo g. 5,103.43,"rūsys, 1 aukštas",Lietuvos rusų sąjunga,2012-12-28,2015-12-28,29.96,18618,Naujamiesčio,Administracinei paskirčiai,Nuoma
43,Rotundo g. 5,129.8,1 aukštas," viešoji įstaiga ""Socialinių projektų centras""",2012-11-14,2017-11-14,37.59,23364,Naujamiesčio,Administracinei paskirčiai,Nuoma
44,Savanorių pr. 49,20.23,1 aukštas,asociacija Lietuvos genealogijos ir heraldikos draugija,2013-03-15,2018-03-15,29.3,,Vilkpėdės,Administracinei paskirčiai,Nuoma
45,"Stiklių g. 6,8",98.88,2 aukštas,Vilniaus daugiabučių namų savininkų bendrijų asociacija,2013-06-01,2018-05-31,28.64,11866,Senamiesčio,Administracinei paskirčiai,Nuoma
46,"Stiklių g. 6,8",30.79,2 aukštas,Vilniaus miesto Vyresniojo Amžiaus Žmonių Asociacija,2014-10-15,2019-10-15,8.92,5583,Senamiesčio,Administracinei paskirčiai,Nuoma
47,"Stiklių g. 6,8",79.64,1 aukštas,Vilniaus medžiotojų draugija,2010-01-01,2021-01-01,23.07,14335,Senamiesčio,Administracinei paskirčiai,Nuoma
48,Stiklių g. 8,51.83,mansarda,Lietuvos nacionalinė vartotojų federacija,2014-05-01,2019-04-30,15.01,3813,Senamiesčio,Administracinei paskirčiai,Nuoma
